MCC,Cashback
4722,NO
4829,NO
4900,NO
5817,NO
5972,NO
6010,NO
6011,NO
6012,NO
6050,NO
6051,NO
6211,NO
6532,NO
6533,NO
6536,NO
6537,NO
6538,NO
6540,NO
7012,NO
7273,NO
7297,NO
7399,NO
7800,NO
7801,NO
7802,NO
7995,NO
7996,NO
8398,NO
8398,NO
8641,NO
8651,NO
8661,NO
8931,NO
8999,NO
9222,NO
9223,NO
9311,NO
9402,NO
9405,NO
9406,NO
9399,NO
9754,NO
